"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Parent PID"
"3:15:15.7124589 PM","PerfWatson2.exe","1692","TCP TCPCopy","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 59, seqnum: 0, connid: 0","8348"
"3:15:15.7124852 PM","PerfWatson2.exe","1692","TCP Receive","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 5, seqnum: 0, connid: 0","8348"
"3:15:15.7125110 PM","PerfWatson2.exe","1692","TCP Receive","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 54, seqnum: 0, connid: 0","8348"
"3:15:15.7128408 PM","PerfWatson2.exe","1692","Thread Create","","SUCCESS","Thread ID: 5480","8348"
"3:15:15.7129240 PM","PerfWatson2.exe","1692","Thread Create","","SUCCESS","Thread ID: 4300","8348"
"3:15:15.7137182 PM","PerfWatson2.exe","1692","TCP Send","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 266, startime: 953057, endtime: 953058, seqnum: 0, connid: 0","8348"
"3:15:15.7395333 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","FAST IO DISALLOWED","","628"
"3:15:15.7396445 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7396814 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:39 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:39 PM, ChangeTime: 9/8/2018 1:30:39 PM, FileAttributes: D","628"
"3:15:15.7396929 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7397063 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7398836 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","FAST IO DISALLOWED","","628"
"3:15:15.7399913 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7400141 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:39 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:39 PM, ChangeTime: 9/8/2018 1:30:39 PM, FileAttributes: D","628"
"3:15:15.7400241 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7400363 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7401513 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7401865 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests\*","SUCCESS","Type: QueryDirectory, Filter: *, 2: .","628"
"3:15:15.7402146 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","Type: QueryDirectory, 1: ..","628"
"3:15:15.7402320 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","NO MORE FILES","Type: QueryDirectory","628"
"3:15:15.7402437 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7402562 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\split-requests","SUCCESS","","628"
"3:15:15.7406130 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","FAST IO DISALLOWED","","628"
"3:15:15.7408589 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7409225 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:39 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:39 PM, ChangeTime: 9/8/2018 1:30:39 PM, FileAttributes: D","628"
"3:15:15.7409410 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7409607 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7411071 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","FAST IO DISALLOWED","","628"
"3:15:15.7412115 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7412340 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:39 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:39 PM, ChangeTime: 9/8/2018 1:30:39 PM, FileAttributes: D","628"
"3:15:15.7412439 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7412566 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7413899 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7414295 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests\*","SUCCESS","Type: QueryDirectory, Filter: *, 2: .","628"
"3:15:15.7414676 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","Type: QueryDirectory, 1: ..","628"
"3:15:15.7414842 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","NO MORE FILES","Type: QueryDirectory","628"
"3:15:15.7414987 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7415115 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\output\requests","SUCCESS","","628"
"3:15:15.7416597 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","FAST IO DISALLOWED","","628"
"3:15:15.7418035 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7418280 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:20 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:20 PM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: D","628"
"3:15:15.7418427 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.7418746 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.7421193 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","FAST IO DISALLOWED","","628"
"3:15:15.7423018 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7423387 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 9/8/2018 1:30:20 PM, LastAccessTime: 9/12/2019 3:15:14 PM, LastWriteTime: 9/8/2018 1:30:20 PM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: D","628"
"3:15:15.7423670 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.7423910 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.7425906 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7426527 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\*","SUCCESS","Type: QueryDirectory, Filter: *, 2: .","628"
"3:15:15.7427060 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","Type: QueryDirectory, 1: .., 2: cafTestInfra_CafTestInfraProvider_1_0_0.xml, 3: caf_ConfigProvider_1_0_0.xml, 4: caf_InstallProvider_1_0_0.xml, 5: caf_RemoteCommandProvider_1_0_0.xml","628"
"3:15:15.7429424 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\cafTestInfra_CafTestInfraProvider_1_0_0.xml","FAST IO DISALLOWED","","628"
"3:15:15.7431369 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\cafTestInfra_CafTestInfraProvider_1_0_0.xml","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7431890 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\cafTestInfra_CafTestInfraProvider_1_0_0.xml","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 3/17/2017 7:36:14 AM, LastAccessTime: 9/12/2019 12:36:48 PM, LastWriteTime: 3/17/2017 7:36:14 AM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: A","628"
"3:15:15.7432046 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\cafTestInfra_CafTestInfraProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7432402 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\cafTestInfra_CafTestInfraProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7434550 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_ConfigProvider_1_0_0.xml","FAST IO DISALLOWED","","628"
"3:15:15.7436369 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_ConfigProvider_1_0_0.xml","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7437075 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_ConfigProvider_1_0_0.xml","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 3/17/2017 7:36:14 AM, LastAccessTime: 9/12/2019 12:36:49 PM, LastWriteTime: 3/17/2017 7:36:14 AM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: A","628"
"3:15:15.7437366 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_ConfigProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7437836 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_ConfigProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7439929 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_InstallProvider_1_0_0.xml","FAST IO DISALLOWED","","628"
"3:15:15.7441770 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_InstallProvider_1_0_0.xml","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7442272 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_InstallProvider_1_0_0.xml","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 3/17/2017 7:36:14 AM, LastAccessTime: 9/12/2019 12:36:50 PM, LastWriteTime: 3/17/2017 7:36:14 AM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: A","628"
"3:15:15.7442418 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_InstallProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7442751 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_InstallProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7444857 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_RemoteCommandProvider_1_0_0.xml","FAST IO DISALLOWED","","628"
"3:15:15.7446681 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_RemoteCommandProvider_1_0_0.xml","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.7447182 PM","ManagementAgentHost.exe","3944","FASTIO_QUERY_INFORMATION","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_RemoteCommandProvider_1_0_0.xml","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 3/17/2017 7:36:14 AM, LastAccessTime: 9/12/2019 12:36:51 PM, LastWriteTime: 3/17/2017 7:36:14 AM, ChangeTime: 9/8/2018 1:30:20 PM, FileAttributes: A","628"
"3:15:15.7447335 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_RemoteCommandProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7447671 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg\caf_RemoteCommandProvider_1_0_0.xml","SUCCESS","","628"
"3:15:15.7447955 PM","ManagementAgentHost.exe","3944","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","NO MORE FILES","Type: QueryDirectory","628"
"3:15:15.7448297 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.7448514 PM","ManagementAgentHost.exe","3944","IRP_MJ_CLOSE","C:\ProgramData\VMware\VMware CAF\pme\data\input\providerReg","SUCCESS","","628"
"3:15:15.8399667 PM","ServiceHub.IdentityHost.exe","7728","Thread Create","","SUCCESS","Thread ID: 8880","7464"
"3:15:15.8400249 PM","ServiceHub.IdentityHost.exe","7728","Thread Create","","SUCCESS","Thread ID: 8772","7464"
"3:15:15.9511320 PM","vmtoolsd.exe","3936","IRP_MJ_CREATE","C:\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Open For Free Space Query, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.9511753 PM","vmtoolsd.exe","3936","IRP_MJ_QUERY_VOLUME_INFORMATION","C:\","SUCCESS","Type: QueryFullSizeInformationVolume, TotalAllocationUnits: 15,505,683, CallerAvailableAllocationUnits: 5,048,062, ActualAvailableAllocationUnits: 5,048,062, SectorsPerAllocationUnit: 8, BytesPerSector: 512","628"
"3:15:15.9511911 PM","vmtoolsd.exe","3936","IRP_MJ_CLEANUP","C:\","SUCCESS","","628"
"3:15:15.9512090 PM","vmtoolsd.exe","3936","IRP_MJ_CLOSE","C:\","SUCCESS","","628"
"3:15:15.9513177 PM","vmtoolsd.exe","3936","IRP_MJ_CREATE","\Device\HarddiskVolume2\","SUCCESS","Desired Access: Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Open For Free Space Query, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened","628"
"3:15:15.9513436 PM","vmtoolsd.exe","3936","IRP_MJ_QUERY_VOLUME_INFORMATION","\Device\HarddiskVolume2\","SUCCESS","Type: QueryFullSizeInformationVolume, TotalAllocationUnits: 221,951, CallerAvailableAllocationUnits: 90,013, ActualAvailableAllocationUnits: 90,013, SectorsPerAllocationUnit: 8, BytesPerSector: 512","628"
"3:15:15.9513541 PM","vmtoolsd.exe","3936","IRP_MJ_CLEANUP","\Device\HarddiskVolume2\","SUCCESS","","628"
"3:15:15.9513676 PM","vmtoolsd.exe","3936","IRP_MJ_CLOSE","\Device\HarddiskVolume2\","SUCCESS","","628"
"3:15:15.9603608 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read","628"
"3:15:15.9603893 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY","628"
"3:15:15.9668858 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read","628"
"3:15:15.9669144 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY","628"
"3:15:15.9670828 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","REPARSE","Desired Access: Read","628"
"3:15:15.9671051 PM","vmtoolsd.exe","3936","RegCreateKey","HKLM\System\CurrentControlSet\Services\Tcpip\Parameters","SUCCESS","Desired Access: Read, Disposition: REG_OPENED_EXISTING_KEY","628"
"3:15:15.9786846 PM","PerfWatson2.exe","1692","TCP TCPCopy","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 90, seqnum: 0, connid: 0","8348"
"3:15:15.9787078 PM","PerfWatson2.exe","1692","TCP Receive","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 5, seqnum: 0, connid: 0","8348"
"3:15:15.9787317 PM","PerfWatson2.exe","1692","TCP Receive","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 85, seqnum: 0, connid: 0","8348"
"3:15:15.9851515 PM","PerfWatson2.exe","1692","TCP Send","DESKTOP-EL9348N.localdomain:50456 -> 40.77.226.250:https","SUCCESS","Length: 1754, startime: 953084, endtime: 953085, seqnum: 0, connid: 0","8348"
"3:15:16.2697302 PM","ManagementAgentHost.exe","3944","FASTIO_NETWORK_QUERY_OPEN","C:\ProgramData\VMware\VMware CAF\pme\data\input\monitor\listenerConfiguredStage2.txt","FAST IO DISALLOWED","","628"
"3:15:16.2698310 PM","ManagementAgentHost.exe","3944","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware CAF\pme\data\input\monitor\listenerConfiguredStage2.txt","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a","628"
"3:15:16.2716562 PM","vmtoolsd.exe","8204","IRP_MJ_CREATE","C:\ProgramData\VMware\VMware Tools","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened","3676"
"3:15:16.2717146 PM","vmtoolsd.exe","8204","IRP_MJ_DIRECTORY_CONTROL","C:\ProgramData\VMware\VMware Tools\tools.conf","NO SUCH FILE","Type: QueryDirectory, Filter: tools.conf","3676"
"3:15:16.2717625 PM","vmtoolsd.exe","8204","IRP_MJ_CLEANUP","C:\ProgramData\VMware\VMware Tools","SUCCESS","","3676"
"3:15:16.2718097 PM","vmtoolsd.exe","8204","IRP_MJ_CLOSE","C:","SUCCESS","","3676"
